timestamp,open,high,low,close,volume
2026-03-20,207.4000,207.5400,204.3160,205.3700,63694603
2026-03-19,207.0600,209.1200,206.0500,208.7600,36440622
2026-03-18,213.9250,215.1401,208.8250,209.8700,37846642
2026-03-17,212.8200,215.7000,212.4300,215.2000,44969943
2026-03-16,208.3500,212.7240,207.4450,211.7400,42209316
2026-03-13,209.6050,210.5600,206.2200,207.6700,35662137
2026-03-12,210.3900,211.7100,208.1500,209.5300,44349501
2026-03-11,215.7050,217.0000,211.3500,212.6500,34199303
2026-03-10,214.1900,215.6500,212.4300,214.3300,35678834
2026-03-09,210.4500,213.8200,207.1100,213.4900,54642926
2026-03-06,214.9900,217.3200,212.5300,213.2100,51152716
2026-03-05,215.9800,220.4700,215.5900,218.9400,60943447
2026-03-04,210.4700,217.5400,210.1500,216.8200,54731101
2026-03-03,203.1000,209.1780,202.4800,208.7300,43184918
2026-03-02,204.5500,209.7300,203.4600,208.3900,46001010
2026-02-27,206.8300,210.3300,205.2000,210.0000,57422777
2026-02-26,210.7300,211.0500,205.3450,207.9200,47756765
2026-02-25,210.4600,211.5900,208.9300,210.6400,41346376
2026-02-24,205.4700,210.3600,203.2500,208.5600,41137162
2026-02-23,208.0950,208.4300,203.1100,205.2700,53581508
2026-02-20,204.7600,211.1700,203.7500,210.1100,65881611
2026-02-19,203.8000,205.6396,202.8100,204.8600,35669611
2026-02-18,202.0700,206.8600,201.5100,204.7900,51003299
2026-02-17,198.1250,201.7362,196.0000,201.1500,69879200
2026-02-13,198.8800,201.1600,197.2750,198.7900,66321593
2026-02-12,203.9600,203.9600,197.5600,199.6000,83975393
2026-02-11,208.0600,208.5700,202.4900,204.0800,65545455
2026-02-10,208.7950,212.6499,206.4110,206.9600,67175031
2026-02-09,208.9700,212.8100,203.3500,208.7200,91178443
2026-02-06,202.7000,211.4400,200.3100,210.3200,179210851
2026-02-05,224.9100,226.3100,220.3800,222.6900,103509230
2026-02-04,238.8600,238.8600,231.8200,232.9900,51299947
2026-02-03,244.9750,246.3500,235.4500,238.6200,50478573
2026-02-02,238.3100,245.6299,238.1700,242.9600,37546102
2026-01-30,239.8900,243.3150,237.6400,239.3000,46585024
2026-01-29,242.8200,243.0000,236.7420,241.7300,47229643
2026-01-28,246.3650,247.7750,241.5300,243.0100,40882657
2026-01-27,239.6850,244.8800,238.0800,244.6800,37815946
2026-01-26,239.9800,240.9500,237.5400,238.4200,32825530
2026-01-23,234.9550,240.4500,234.5700,239.1600,33778478
2026-01-22,234.0500,235.7200,230.9000,234.3400,31913325
2026-01-21,231.0850,232.3000,226.8800,231.3100,47276090
2026-01-20,233.7600,235.0900,229.3400,231.0000,46959464
2026-01-16,239.0850,239.5700,236.4100,239.1200,45888283
2026-01-15,239.3100,240.6500,236.6300,238.1800,43003571
2026-01-14,241.1500,241.2800,236.2200,236.6500,41410578
2026-01-13,246.5300,247.6600,240.2500,242.6000,38371778
2026-01-12,246.7300,248.9400,245.9600,246.4700,35867770
2026-01-09,244.5680,247.8600,242.2400,247.3800,34559961
2026-01-08,243.0600,246.4100,241.8800,246.2900,39509844
2026-01-07,239.6100,245.2900,239.5200,241.5600,42236531
2026-01-06,232.1000,243.1800,232.0700,240.9300,53764677
2026-01-05,228.8400,234.0000,227.1800,233.0600,49733348
2026-01-02,231.3400,235.4580,224.7000,226.5000,51456229
2025-12-31,232.9050,232.9900,230.1200,230.8200,24383749
2025-12-30,231.2050,232.7700,230.2000,232.5300,21910453
2025-12-29,231.9400,232.6000,230.7700,232.0700,19797909
2025-12-26,232.0350,232.9900,231.1800,232.5200,15994726
2025-12-24,232.1300,232.9500,231.3300,232.3800,11420543
2025-12-23,229.0550,232.4450,228.7300,232.1400,29230233
2025-12-22,228.6100,229.4800,226.7100,228.4300,32261329
2025-12-19,226.7600,229.1250,225.5800,227.3500,85544374
2025-12-18,225.7050,229.2250,224.4100,226.7600,50272419
2025-12-17,224.6550,225.1900,220.9900,221.2700,44034418
2025-12-16,223.0350,223.6600,221.1304,222.5600,39298857
2025-12-15,227.9300,227.9300,221.5000,222.5400,47286085
2025-12-12,229.8700,230.0800,225.1200,226.1900,35639118
2025-12-11,230.7100,232.1100,228.6901,230.2800,28249599
2025-12-10,228.8050,232.4200,228.4600,231.7800,38790736
2025-12-09,226.8400,228.5700,225.1100,227.9200,25712299
2025-12-08,229.5900,230.8300,226.2700,226.8900,34681553
2025-12-05,230.3200,231.2400,228.5470,229.5300,33117377
2025-12-04,232.7700,233.5000,226.8000,229.1100,45683224
2025-12-03,233.3500,233.3800,230.6100,232.3800,35495058
2025-12-02,235.0050,238.9700,233.5500,234.4200,45785363
2025-12-01,233.2200,235.7970,232.2500,233.8800,42903954
2025-11-28,231.2400,233.2850,230.2200,233.2200,20292329
2025-11-26,230.7400,231.7474,228.7700,229.1600,38497922
2025-11-25,226.3800,230.5200,223.8000,229.6700,39379339
2025-11-24,222.5550,227.3300,222.2700,226.2800,54318395
2025-11-21,216.3450,222.2100,215.1800,220.6900,68490464
2025-11-20,227.0500,227.4100,216.7400,217.1400,50308962
2025-11-19,223.7350,223.7350,218.5200,222.6900,58335643
2025-11-18,228.1000,230.2000,222.4200,222.5500,60608442
2025-11-17,233.2500,234.6000,229.1900,232.8700,59919018
2025-11-14,235.0600,238.7300,232.8900,234.6900,38956669
2025-11-13,243.0500,243.7500,236.5000,237.5800,41401738
2025-11-12,250.2350,250.3700,243.7500,244.2000,31190063
2025-11-11,248.4100,249.7499,247.2300,249.1000,23564060
2025-11-10,248.3400,251.7500,245.5900,248.4000,36476514
2025-11-07,242.9000,244.9000,238.4900,244.4100,46374294
2025-11-06,249.1550,250.3800,242.1700,243.0400,46004203
