timestamp,open,high,low,close,volume
2026-03-20,379.8500,379.8900,364.4601,367.9600,78628603
2026-03-19,387.2700,387.2700,378.7300,380.3000,67078259
2026-03-18,399.0000,403.0650,392.3100,392.7800,50853149
2026-03-17,395.6900,400.1200,393.0000,399.2700,46890467
2026-03-16,396.2200,403.7300,394.4200,395.5600,58068343
2026-03-13,399.1650,400.2000,389.9500,391.2000,58504091
2026-03-12,405.1750,406.5000,394.6500,395.0100,60973793
2026-03-11,402.2800,416.3799,402.1500,407.8200,62559930
2026-03-10,402.2200,406.5900,398.1900,399.2350,59258743
2026-03-09,390.0500,401.5900,381.4000,398.6800,67018911
2026-03-06,398.0900,402.3500,394.2100,396.7300,64054561
2026-03-05,401.5700,408.6200,399.4200,405.5500,51925898
2026-03-04,397.8450,408.3300,394.5800,405.9400,68305513
2026-03-03,395.0900,396.3400,385.3900,392.4300,62617298
2026-03-02,390.6000,404.5400,388.2500,403.3200,55088338
2026-02-27,402.9400,407.1200,398.1100,402.5100,56890097
2026-02-26,414.4200,416.8100,403.6600,408.5800,53602497
2026-02-25,412.1500,420.3400,412.1500,417.4000,54809704
2026-02-24,399.5000,410.8200,397.6400,409.3800,58579482
2026-02-23,407.2850,407.7000,394.0400,399.8300,69680026
2026-02-20,408.3000,414.7000,405.5000,411.8200,57912225
2026-02-19,407.2500,415.2499,404.1100,411.7100,51019638
2026-02-18,411.1100,416.9000,409.5800,411.3200,45921402
2026-02-17,412.3600,413.7200,400.5100,410.6300,59678789
2026-02-13,414.3050,424.0600,410.8800,417.4400,51434147
2026-02-12,430.3000,436.2300,414.0000,417.0700,61933359
2026-02-11,427.9550,436.3500,420.0300,428.2700,57361989
2026-02-10,418.0800,427.2500,417.0000,425.2100,64450233
2026-02-09,409.9050,421.2500,407.2900,417.3200,54484258
2026-02-06,400.8700,414.5500,397.7510,411.1100,62677144
2026-02-05,397.0150,402.1000,387.5309,397.2100,72819838
2026-02-04,420.4600,423.9000,399.1800,406.0100,74606873
2026-02-03,424.2700,428.5600,413.6901,421.9600,56269638
2026-02-02,421.2900,427.1500,414.5000,421.8100,58739455
2026-01-30,425.3500,439.8800,422.7000,430.4100,82626066
